job,node,date,head,libmpiwrap,src_md5,warmup,iters,np,accum,mode,order,rep,gbps
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,6144,2,981.1998
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,6144,2,90.2830
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,6144,2,121.1221
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,6144,2,89.0974
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,6144,2,105.6496
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,6144,3,764.8112
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,6144,3,851.0022
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,6144,3,963.9107
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,6144,3,979.0471
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,6144,3,89.8211
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,6144,3,40.9144
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,6144,3,42.1845
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,6144,3,102.9590
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,8192,1,733.9882
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,8192,1,888.4609
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,8192,1,1022.9406
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,8192,1,1035.9261
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,8192,1,84.8852
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,8192,1,15.6193
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,8192,1,91.0755
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,8192,1,12.9382
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,8192,2,806.5059
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,8192,2,888.2337
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,8192,2,1024.0817
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,8192,2,1036.5233
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,8192,2,83.8617
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,8192,2,69.2456
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,8192,2,93.1664
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,8192,2,68.8857
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,8192,3,808.9019
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,8192,3,888.3442
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,8192,3,1023.7639
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,8192,3,1036.0154
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,8192,3,85.3213
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,8192,3,12.9632
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,8192,3,134.5428
